swlat,swlon,nelat,nelon,name,woeid,offset
42.4350814819,1.4221111536,42.6586952209,1.78038883209,Europe/Andorra,28350887,
22.6340713501,51.5076370239,26.0788612366,56.3750839233,Asia/Dubai,28350824,
29.3774719238,60.4784431458,38.483417511,74.879447937,Asia/Kabul,28350833,
16.9272212982,-62.3524093628,17.7293872833,-61.6590843201,America/Antigua,28350734,
18.1668148041,-63.4348716736,18.6127872467,-62.9320411682,America/Anguilla,28350733,
39.6444816589,19.2756118774,42.6610832214,21.0572814941,Europe/Tirane,28350919,
38.8305282593,43.4497795105,41.3018341064,46.630027771,Asia/Yerevan,28350867,
11.9731969833,-69.1572036743,12.3856716156,-68.6393356323,America/Curacao,28350749,
-18.0420761108,11.6792192459,-4.37682580948,24.082118988,Africa/Luanda,28350712,
-46.0002861023,-72.1335296631,-25.1567115784,-63.5871162415,America/Argentina/Catamarca,56043540,
-35.0022277832,-65.7672271729,-22.4624710083,-53.591835022,America/Argentina/Cordoba,56043541,
-24.6150016785,-67.2326660156,-21.7812767029,-64.1580657959,America/Argentina/Jujuy,56043542,
-31.9369468689,-69.6315383911,-27.7355575562,-65.1276092529,America/Argentina/La_Rioja,56043543,
-37.5654067993,-70.5791931152,-31.9547233582,-66.5016784668,America/Argentina/Mendoza,56043544,
-52.4001464844,-73.5829696655,-45.9994506836,-65.7152328491,America/Argentina/Rio_Gallegos,56043545,
-42.0087280273,-71.946685791,-22.0025939941,-62.3338928223,America/Argentina/Salta,56043546,
-32.3985290527,-70.5617752075,-28.4099845886,-66.7304840088,America/Argentina/San_Juan,56043547,
-36.0023269653,-67.3972320557,-31.8466682434,-64.8736114502,America/Argentina/San_Luis,56043548,
-28.054725647,-66.2189025879,-26.0722236633,-64.4808349609,America/Argentina/Tucuman,56043549,
-55.0613136292,-68.6132049561,-52.6653747559,-63.8069610596,America/Argentina/Ushuaia,56043550,
-41.0357322693,-63.3897247314,-33.2567443848,-56.6690330505,America/Argentina/Buenos_Aires,56043551,
-14.3824777603,-171.091888428,-11.0496997833,-169.41607666,Pacific/Pago_Pago,28350959,
46.3780288696,9.53591632843,49.0170555115,17.1627216339,Europe/Vienna,28350921,
